Kingdom,Phylum,Class,Order,Family,Genus,Species,Strain,scaff_non_virus.fasta
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pseudodonghicola,Pseudodonghicola_xiamenensis,NA,0.35742438506296964
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas_cremoricolorata,NA,0.23948372582693717
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,NA,Pseudorivibacter,Pseudorivibacter_rhizosphaerae,NA,3.121675286122081
Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Psittacicellaceae,Psittacicella,Psittacicella_hinzii,NA,0.21377192651477844
Bacteria,Proteobacteria,Gammaproteobacteria,Cardiobacteriales,Cardiobacteriaceae,Rappaport,Rappaport_israeli,NA,0.27598587157854004
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,Roseomonas_deserti,NA,0.9078135208199013
Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Shuttleworthia,Shuttleworthia_satelles,NA,0.1339071628481613
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,NA,Sphaerotilus,Sphaerotilus_hippei,NA,0.8536466206680015
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,Sphingobium_yanoikuyae,NA,8.738365217386242
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas_melonis,NA,2.4927971699834854
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,Sphingopyxis_indica,NA,1.8888351390010412
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Stakelama,Stakelama_pacifica,NA,1.2294210595391981
Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas_chelatiphaga,NA,0.5670675016096993
Bacteria,Thermotogae,Thermotogae,Thermotogales,Thermotogaceae,Thermotoga,Thermotoga_caldifontis,NA,0.12537291340288717
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Yoonia,Yoonia_vestfoldensis,NA,0.5019955469676154
