Kingdom,Phylum,Class,Order,Family,Genus,Species,Strain,scaff_non_virus.fasta
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus_cereus_group,Bacillus_anthracis_A2012_uid54101,0.38969491231482273
Archaea,Thaumarchaeota,Unknown Class,Unknown Order,Unknown Family,Candidatus_Caldiarchaeum,Candidatus_Caldiarchaeum_subterraneum,Candidatus_Caldiarchaeum_subterraneum_uid227223,0.6887419355490072
Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio_furnissii,Vibrio_furnissii_NCTC_11218_uid82347,0.2286763826356064
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Verminephrobacter,Verminephrobacter_eiseniae,Verminephrobacter_eiseniae_EF01_2_uid58675,0.08585224585723863
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Taylorella,Taylorella_asinigenitalis,Taylorella_asinigenitalis_MCE3_uid73771,3.8238167415223923
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Advenella,Advenella_kashmirensis,Advenella_kashmirensis_WT001_uid80859,0.024327310615324983
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Moraxella,Moraxella_catarrhalis,Moraxella_catarrhalis_BBH18_uid48809,3.704292377987072
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Jonesiaceae,Jonesia,Jonesia_denitrificans,Jonesia_denitrificans_DSM_20603_uid59053,4.165978657803144
Bacteria,Cyanobacteria,Unknown Class,Chroococcales,Unknown Family,Synechococcus,Synechococcus_sp._PCC_6312,Synechococcus_PCC_6312_uid182934,0.49433474660901566
Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Rhodopirellula,Rhodopirellula_baltica,Rhodopirellula_baltica_SH_1_uid61589,0.5754571882740807
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,Coprococcus_sp._ART55/1,Coprococcus_ART55_1_uid197176,1.0157805134816573
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas_syringae_group,Pseudomonas_syringae_B728a_uid57931,0.21401972841729008
